Date,Name of the stocks,Transaction Price,Event(Sell/Buy),Total Units
2015-01-05,GSPL.NS,Open,BUY,887
2015-01-05,GSPL.NS,Close,SELL,887
2015-02-13,SBIN.NS,Open,BUY,359
2015-02-13,SBIN.NS,Close,SELL,359
2015-02-19,JSWSTEEL.NS,Open,BUY,1070
2015-02-19,JSWSTEEL.NS,Close,SELL,1070
2015-03-10,BHARTIARTL.NS,Open,BUY,335
2015-03-10,BHARTIARTL.NS,Close,SELL,335
2015-03-11,BHARTIARTL.NS,Open,BUY,317
2015-03-11,BHARTIARTL.NS,Close,SELL,317
2015-03-23,GSPL.NS,Open,BUY,923
2015-03-23,GSPL.NS,Close,SELL,923
2015-04-01,SAIL.BO,Open,BUY,1620
2015-04-01,SAIL.BO,Close,SELL,1620
2015-04-23,YESBANK.NS,Open,BUY,675
2015-04-23,YESBANK.NS,Close,SELL,675
2015-05-11,GSPL.NS,Open,BUY,992
2015-05-11,GSPL.NS,Close,SELL,992
2015-05-14,JSWENERGY.BO,Open,BUY,1050
2015-05-14,JSWENERGY.BO,Close,SELL,1050
2015-05-29,BHARTIARTL.NS,Open,BUY,299
2015-05-29,BHARTIARTL.NS,Close,SELL,299
2015-07-16,GSPL.NS,Open,BUY,884
2015-07-16,GSPL.NS,Close,SELL,884
2015-08-14,JSWENERGY.BO,Open,BUY,1609
2015-08-14,JSWENERGY.BO,Close,SELL,1609
2015-08-17,JSWSTEEL.NS,Open,BUY,1260
2015-08-17,JSWSTEEL.NS,Close,SELL,1260
2015-08-25,TATAMOTORS.NS,Open,BUY,375
2015-08-25,JSWENERGY.BO,Open,BUY,4
2015-08-25,TATAMOTORS.NS,Close,SELL,375
2015-08-25,JSWENERGY.BO,Close,SELL,4
2015-09-08,YESBANK.NS,Open,BUY,894
2015-09-08,JSWENERGY.BO,Open,BUY,1
2015-09-08,YESBANK.NS,Close,SELL,894
2015-09-08,JSWENERGY.BO,Close,SELL,1
2015-09-10,JSWENERGY.BO,Open,BUY,1538
2015-09-10,JSWENERGY.BO,Close,SELL,1538
2015-09-30,JSWENERGY.BO,Open,BUY,1360
2015-09-30,JSWENERGY.BO,Close,SELL,1360
2015-10-14,GSPL.NS,Open,BUY,1053
2015-10-14,GSPL.NS,Close,SELL,1053
2015-10-15,TATAMOTORS.NS,Open,BUY,350
2015-10-15,TATAMOTORS.NS,Close,SELL,350
2015-11-09,TATAMOTORS.NS,Open,BUY,339
2015-11-09,TATAMOTORS.NS,Close,SELL,339
2015-12-01,JSWSTEEL.NS,Open,BUY,1486
2015-12-01,JSWSTEEL.NS,Close,SELL,1486
2015-12-14,JSWSTEEL.NS,Open,BUY,1375
2015-12-14,JSWSTEEL.NS,Close,SELL,1375
2015-12-17,SAIL.BO,Open,BUY,2931
2015-12-17,SAIL.BO,Close,SELL,2931
2015-12-22,GSPL.NS,Open,BUY,1044
2015-12-22,GSPL.NS,Close,SELL,1044
2016-01-05,GSPL.NS,Open,BUY,969
2016-01-05,SAIL.BO,Open,BUY,2
2016-01-05,GSPL.NS,Close,SELL,969
2016-01-05,SAIL.BO,Close,SELL,2
2016-01-19,JSWENERGY.BO,Open,BUY,1994
2016-01-19,JSWENERGY.BO,Close,SELL,1994
2016-01-29,YESBANK.NS,Open,BUY,1063
2016-01-29,YESBANK.NS,Close,SELL,1063
2016-02-05,SAIL.BO,Open,BUY,3913
2016-02-05,SAIL.BO,Close,SELL,3913
2016-02-12,TATAMOTORS.NS,Open,BUY,540
2016-02-12,TATAMOTORS.NS,Close,SELL,540
2016-02-15,TATAMOTORS.NS,Open,BUY,514
2016-02-15,TATAMOTORS.NS,Close,SELL,514
2016-03-08,SAIL.BO,Open,BUY,3874
2016-03-08,SAIL.BO,Close,SELL,3874
2016-05-27,SBIN.NS,Open,BUY,866
2016-05-27,SBIN.NS,Close,SELL,866
2016-06-08,JSWENERGY.BO,Open,BUY,2238
2016-06-08,JSWENERGY.BO,Close,SELL,2238
2016-06-09,SAIL.BO,Open,BUY,4016
2016-06-09,SAIL.BO,Close,SELL,4016
2016-06-29,JSWENERGY.BO,Open,BUY,2136
2016-06-29,JSWENERGY.BO,Close,SELL,2136
2016-07-15,NTPC.NS,Open,BUY,1439
2016-07-15,NTPC.NS,Close,SELL,1439
2016-08-12,SBIN.NS,Open,BUY,784
2016-08-12,SBIN.NS,Close,SELL,784
2016-08-18,GSPL.NS,Open,BUY,1260
2016-08-18,GSPL.NS,Close,SELL,1260
2016-09-06,TATAMOTORS.NS,Open,BUY,328
2016-09-06,TATAMOTORS.NS,Close,SELL,328
