Store_no.,Date,Temperature,Fuel_Price,CPI,Unemployment_Ind,Holiday_ind
1,05-02-2016,42.31,2.572,211.0963582,8.106,0
1,12-02-2016,38.51,2.548,211.2421698,8.106,1
1,19-02-2016,39.93,2.514,211.2891429,8.106,0
1,26-02-2016,46.63,2.561,211.3196429,8.106,0
1,05-03-2016,46.5,2.625,211.3501429,8.106,0
1,12-03-2016,57.79,2.667,211.3806429,8.106,0
1,19-03-2016,54.58,2.72,211.215635,8.106,0
1,26-03-2016,51.45,2.732,211.0180424,8.106,0
1,02-04-2016,62.27,2.719,210.8204499,7.808,0
1,09-04-2016,65.86,2.77,210.6228574,7.808,0
1,16-04-2016,66.32,2.808,210.4887,7.808,0
1,23-04-2016,64.84,2.795,210.4391228,7.808,0
1,30-04-2016,67.41,2.78,210.3895456,7.808,0
1,07-05-2016,72.55,2.835,210.3399684,7.808,0
1,14-05-2016,74.78,2.854,210.3374261,7.808,0
1,21-05-2016,76.44,2.826,210.6170934,7.808,0
1,28-05-2016,80.44,2.759,210.8967606,7.808,0
1,04-06-2016,80.69,2.705,211.1764278,7.808,0
1,11-06-2016,80.43,2.668,211.4560951,7.808,0
1,18-06-2016,84.11,2.637,211.4537719,7.808,0
1,25-06-2016,84.34,2.653,211.3386526,7.808,0
1,02-07-2016,80.91,2.669,211.2235333,7.787,0
1,09-07-2016,80.48,2.642,211.108414,7.787,0
1,16-07-2016,83.15,2.623,211.1003854,7.787,0
1,23-07-2016,83.36,2.608,211.2351443,7.787,0
1,30-07-2016,81.84,2.64,211.3699032,7.787,0
1,06-08-2016,87.16,2.627,211.5046621,7.787,0
1,13-08-2016,87,2.692,211.6394211,7.787,0
1,20-08-2016,86.65,2.664,211.6033633,7.787,0
1,27-08-2016,85.22,2.619,211.5673056,7.787,0
1,03-09-2016,81.21,2.577,211.5312479,7.787,0
1,10-09-2016,78.69,2.565,211.4951902,7.787,1
1,17-09-2016,82.11,2.582,211.5224596,7.787,0
1,24-09-2016,80.94,2.624,211.5972246,7.787,0
1,01-10-2016,71.89,2.603,211.6719895,7.838,0
1,08-10-2016,63.93,2.633,211.7467544,7.838,0
1,15-10-2016,67.18,2.72,211.8137436,7.838,0
1,22-10-2016,69.86,2.725,211.8612937,7.838,0
1,29-10-2016,69.64,2.716,211.9088438,7.838,0
1,05-11-2016,58.74,2.689,211.9563939,7.838,0
1,12-11-2016,59.61,2.728,212.003944,7.838,0
1,19-11-2016,51.41,2.771,211.8896737,7.838,0
1,26-11-2016,64.52,2.735,211.7484333,7.838,1
1,03-12-2016,49.27,2.708,211.607193,7.838,0
1,10-12-2016,46.33,2.843,211.4659526,7.838,0
1,17-12-2016,49.84,2.869,211.4053124,7.838,0
1,24-12-2016,52.33,2.886,211.4051222,7.838,0
1,31-12-2016,48.43,2.943,211.4049321,7.838,1
1,07-01-2017,48.27,2.976,211.4047419,7.742,0
1,14-01-2017,35.4,2.983,211.4574109,7.742,0
1,21-01-2017,44.04,3.016,211.8272343,7.742,0
1,28-01-2017,43.83,3.01,212.1970577,7.742,0
1,04-02-2017,42.27,2.989,212.5668812,7.742,0
1,11-02-2017,36.39,3.022,212.9367046,7.742,1
1,18-02-2017,57.36,3.045,213.2478853,7.742,0
1,25-02-2017,62.9,3.065,213.535609,7.742,0
1,04-03-2017,59.58,3.288,213.8233327,7.742,0
1,11-03-2017,53.56,3.459,214.1110564,7.742,0
1,18-03-2017,62.76,3.488,214.3627114,7.742,0
1,25-03-2017,69.97,3.473,214.5999389,7.742,0
1,01-04-2017,59.17,3.524,214.8371664,7.682,0
1,08-04-2017,67.84,3.622,215.0743939,7.682,0
1,15-04-2017,71.27,3.743,215.2918561,7.682,0
1,22-04-2017,72.99,3.807,215.4599053,7.682,0
1,29-04-2017,72.03,3.81,215.6279544,7.682,0
1,06-05-2017,64.61,3.906,215.7960035,7.682,0
1,13-05-2017,75.64,3.899,215.9640526,7.682,0
1,20-05-2017,67.63,3.907,215.7339202,7.682,0
1,27-05-2017,77.72,3.786,215.5037878,7.682,0
1,03-06-2017,83,3.699,215.2736553,7.682,0
1,10-06-2017,83.13,3.648,215.0435229,7.682,0
1,17-06-2017,86.41,3.637,214.9980596,7.682,0
1,24-06-2017,83.58,3.594,215.0910982,7.682,0
1,01-07-2017,85.55,3.524,215.1841368,7.962,0
1,08-07-2017,85.83,3.48,215.2771754,7.962,0
1,15-07-2017,88.54,3.575,215.3611087,7.962,0
1,22-07-2017,85.77,3.651,215.4222784,7.962,0
1,29-07-2017,86.83,3.682,215.4834482,7.962,0
1,05-08-2017,91.65,3.684,215.544618,7.962,0
1,12-08-2017,90.76,3.638,215.6057878,7.962,0
1,19-08-2017,89.94,3.554,215.6693107,7.962,0
1,26-08-2017,87.96,3.523,215.7332258,7.962,0
1,02-09-2017,87.83,3.533,215.7971409,7.962,0
1,09-09-2017,76,3.546,215.861056,7.962,1
1,16-09-2017,79.94,3.526,216.0410526,7.962,0
1,23-09-2017,75.8,3.467,216.3758246,7.962,0
1,30-09-2017,79.69,3.355,216.7105965,7.962,0
1,07-10-2017,69.31,3.285,217.0453684,7.866,0
1,14-10-2017,71.74,3.274,217.3552733,7.866,0
1,21-10-2017,63.71,3.353,217.5159762,7.866,0
1,28-10-2017,66.57,3.372,217.6766791,7.866,0
1,04-11-2017,54.98,3.332,217.837382,7.866,0
1,11-11-2017,59.11,3.297,217.9980849,7.866,0
1,18-11-2017,62.25,3.308,218.2205088,7.866,0
1,25-11-2017,60.14,3.236,218.4676211,7.866,1
1,02-12-2017,48.91,3.172,218.7147333,7.866,0
1,09-12-2017,43.93,3.158,218.9618456,7.866,0
1,16-12-2017,51.63,3.159,219.1794533,7.866,0
1,23-12-2017,47.96,3.112,219.3577216,7.866,0
1,30-12-2017,44.55,3.129,219.5359898,7.866,1
1,06-01-2018,49.01,3.157,219.7142581,7.348,0
1,13-01-2018,48.53,3.261,219.8925263,7.348,0
1,20-01-2018,54.11,3.268,219.9856893,7.348,0
1,27-01-2018,54.26,3.29,220.0788523,7.348,0
1,03-02-2018,56.55,3.36,220.1720153,7.348,0
1,10-02-2018,48.02,3.409,220.2651783,7.348,1
1,17-02-2018,45.32,3.51,220.4257586,7.348,0
1,24-02-2018,57.25,3.555,220.636902,7.348,0
1,02-03-2018,60.96,3.63,220.8480454,7.348,0
1,09-03-2018,58.76,3.669,221.0591887,7.348,0
1,16-03-2018,64.74,3.734,221.2118132,7.348,0
1,23-03-2018,65.93,3.787,221.2864126,7.348,0
1,30-03-2018,67.61,3.845,221.3610119,7.348,0
1,06-04-2018,70.43,3.891,221.4356112,7.143,0
1,13-04-2018,69.07,3.891,221.5102105,7.143,0
1,20-04-2018,66.76,3.877,221.5640737,7.143,0
1,27-04-2018,67.23,3.814,221.6179368,7.143,0
1,04-05-2018,75.55,3.749,221.6718,7.143,0
1,11-05-2018,73.77,3.688,221.7256632,7.143,0
1,18-05-2018,70.33,3.63,221.742674,7.143,0
1,25-05-2018,77.22,3.561,221.744944,7.143,0
1,01-06-2018,77.95,3.501,221.7472139,7.143,0
1,08-06-2018,78.3,3.452,221.7494839,7.143,0
1,15-06-2018,79.35,3.393,221.7626421,7.143,0
1,22-06-2018,78.39,3.346,221.8030211,7.143,0
1,29-06-2018,84.88,3.286,221.8434,7.143,0
1,06-07-2018,81.57,3.227,221.8837789,6.908,0
1,13-07-2018,77.12,3.256,221.9241579,6.908,0
1,20-07-2018,80.42,3.311,221.9327267,6.908,0
1,27-07-2018,82.66,3.407,221.9412954,6.908,0
1,03-08-2018,86.11,3.417,221.9498642,6.908,0
1,10-08-2018,85.05,3.494,221.9584329,6.908,0
1,17-08-2018,84.85,3.571,222.0384109,6.908,0
1,24-08-2018,77.66,3.62,222.1719457,6.908,0
1,31-08-2018,80.49,3.638,222.3054805,6.908,0
1,07-09-2018,83.96,3.73,222.4390153,6.908,1
1,14-09-2018,74.97,3.717,222.5820193,6.908,0
1,21-09-2018,69.87,3.721,222.7818386,6.908,0
1,28-09-2018,76.08,3.666,222.9816579,6.908,0
1,05-10-2018,68.55,3.617,223.1814772,6.573,0
1,12-10-2018,62.99,3.601,223.3812965,6.573,0
1,19-10-2018,67.97,3.594,223.4257233,6.573,0
1,26-10-2018,69.16,3.506,223.4442513,6.573,0
2,05-02-2016,40.19,2.572,210.7526053,8.324,0
2,12-02-2016,38.49,2.548,210.8979935,8.324,1
2,19-02-2016,39.69,2.514,210.9451605,8.324,0
2,26-02-2016,46.1,2.561,210.9759573,8.324,0
2,05-03-2016,47.17,2.625,211.0067542,8.324,0
2,12-03-2016,57.56,2.667,211.037551,8.324,0
2,19-03-2016,54.52,2.72,210.8733316,8.324,0
2,26-03-2016,51.26,2.732,210.6766095,8.324,0
2,02-04-2016,63.27,2.719,210.4798874,8.2,0
2,09-04-2016,65.41,2.77,210.2831653,8.2,0
2,16-04-2016,68.07,2.808,210.1495463,8.2,0
2,23-04-2016,65.11,2.795,210.1000648,8.2,0
2,30-04-2016,66.98,2.78,210.0505833,8.2,0
2,07-05-2016,71.28,2.835,210.0011018,8.2,0
2,14-05-2016,73.31,2.854,209.9984585,8.2,0
2,21-05-2016,74.83,2.826,210.2768443,8.2,0
2,28-05-2016,81.13,2.759,210.5552301,8.2,0
2,04-06-2016,81.81,2.705,210.833616,8.2,0
2,11-06-2016,83.4,2.668,211.1120018,8.2,0
2,18-06-2016,85.81,2.637,211.1096543,8.2,0
2,25-06-2016,86.26,2.653,210.9950134,8.2,0
2,02-07-2016,82.74,2.669,210.8803726,8.099,0
2,09-07-2016,82.59,2.642,210.7657317,8.099,0
2,16-07-2016,85.32,2.623,210.7577954,8.099,0
2,23-07-2016,87.66,2.608,210.8921319,8.099,0
2,30-07-2016,83.49,2.64,211.0264684,8.099,0
2,06-08-2016,89.53,2.627,211.1608049,8.099,0
2,13-08-2016,89.05,2.692,211.2951413,8.099,0
2,20-08-2016,88.7,2.664,211.2596586,8.099,0
2,27-08-2016,87.12,2.619,211.2241759,8.099,0
2,03-09-2016,81.83,2.577,211.1886931,8.099,0
2,10-09-2016,79.09,2.565,211.1532104,8.099,1
2,17-09-2016,82.05,2.582,211.1806415,8.099,0
2,24-09-2016,81.79,2.624,211.2552578,8.099,0
2,01-10-2016,69.24,2.603,211.3298742,8.163,0
2,08-10-2016,63.19,2.633,211.4044906,8.163,0
2,15-10-2016,65.8,2.72,211.4713286,8.163,0
2,22-10-2016,68.5,2.725,211.5187208,8.163,0
2,29-10-2016,66.24,2.716,211.5661131,8.163,0
2,05-11-2016,57.85,2.689,211.6135053,8.163,0
2,12-11-2016,59.69,2.728,211.6608975,8.163,0
2,19-11-2016,50.81,2.771,211.5470304,8.163,0
2,26-11-2016,62.98,2.735,211.4062867,8.163,1
2,03-12-2016,49.33,2.708,211.265543,8.163,0
2,10-12-2016,45.5,2.843,211.1247993,8.163,0
2,17-12-2016,47.55,2.869,211.0645458,8.163,0
2,24-12-2016,49.97,2.886,211.0646599,8.163,0
2,31-12-2016,47.3,2.943,211.064774,8.163,1
2,07-01-2017,44.69,2.976,211.0648881,8.028,0
2,14-01-2017,33.02,2.983,211.1176713,8.028,0
2,21-01-2017,41.4,3.016,211.4864691,8.028,0
2,28-01-2017,42.83,3.01,211.8552668,8.028,0
2,04-02-2017,38.25,2.989,212.2240646,8.028,0
2,11-02-2017,33.19,3.022,212.5928624,8.028,1
2,18-02-2017,57.83,3.045,212.9033115,8.028,0
2,25-02-2017,60.8,3.065,213.190421,8.028,0
2,04-03-2017,57.77,3.288,213.4775305,8.028,0
2,11-03-2017,52.7,3.459,213.7646401,8.028,0
2,18-03-2017,62.32,3.488,214.0156238,8.028,0
2,25-03-2017,69.42,3.473,214.2521573,8.028,0
2,01-04-2017,55.43,3.524,214.4886908,7.931,0
2,08-04-2017,67,3.622,214.7252242,7.931,0
2,15-04-2017,69.48,3.743,214.9420631,7.931,0
2,22-04-2017,69.39,3.807,215.1096657,7.931,0
2,29-04-2017,69.21,3.81,215.2772683,7.931,0
2,06-05-2017,61.48,3.906,215.4448709,7.931,0
2,13-05-2017,74.61,3.899,215.6124735,7.931,0
2,20-05-2017,67.14,3.907,215.3834778,7.931,0
2,27-05-2017,76.42,3.786,215.1544822,7.931,0
2,03-06-2017,83.07,3.699,214.9254865,7.931,0
2,10-06-2017,83.4,3.648,214.6964908,7.931,0
2,17-06-2017,86.53,3.637,214.6513538,7.931,0
2,24-06-2017,85.17,3.594,214.7441108,7.931,0
2,01-07-2017,85.69,3.524,214.8368678,7.852,0
2,08-07-2017,87.7,3.48,214.9296249,7.852,0
2,15-07-2017,89.83,3.575,215.0134426,7.852,0
2,22-07-2017,89.34,3.651,215.0749122,7.852,0
2,29-07-2017,90.07,3.682,215.1363819,7.852,0
2,05-08-2017,93.34,3.684,215.1978515,7.852,0
2,12-08-2017,91.58,3.638,215.2593211,7.852,0
2,19-08-2017,89.86,3.554,215.3229307,7.852,0
